FOD,Code,Group,Subgroup
Computer And Information Systems-General,2100,Science and Engineering Group,"Computers, Mathematics and Statistics"
Computer Science,2102,Science and Engineering Group,"Computers, Mathematics and Statistics"
Computer Systems Analysis,2103,Science and Engineering Group,"Computers, Mathematics and Statistics"
Information Sciences,2105,Science and Engineering Group,"Computers, Mathematics and Statistics"
Computer Administration Management And Security,2106,Science and Engineering Group,"Computers, Mathematics and Statistics"
Computer Networking And Telecommunications,2107,Science and Engineering Group,"Computers, Mathematics and Statistics"
Miscellaneous Computer Sciences,2199,Science and Engineering Group,"Computers, Mathematics and Statistics"
Mathematics,3700,Science and Engineering Group,"Computers, Mathematics and Statistics"
Applied Mathematics,3701,Science and Engineering Group,"Computers, Mathematics and Statistics"
Statistics,3702,Science and Engineering Group,"Computers, Mathematics and Statistics"
Decision Science,3705,Science and Engineering Group,"Computers, Mathematics and Statistics"
Miscellaneous Mathematics,3799,Science and Engineering Group,"Computers, Mathematics and Statistics"
General Agriculture,1100,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Agriculture Production And Management,1101,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Agricultural Economics,1102,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Animal Sciences,1103,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Food Science,1104,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Plant Science And Agronomy,1105,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Soil Science,1106,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Miscellaneous Agriculture,1199,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Environmental Science,1301,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Forestry,1302,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Natural Resources Management,1303,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Biology,3600,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Biochemical Sciences,3601,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Botany,3602,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Molecular Biology,3603,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Ecology,3604,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Genetics,3605,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Microbiology,3606,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Pharmacology,3607,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Physiology,3608,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Zoology,3609,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Epidemiology,3610,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Neuroscience,3611,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Miscellaneous Biology,3699,Science and Engineering Group,"Biological, Agricultural, and Environmental Sciences"
Physical Sciences,5000,Science and Engineering Group,Science and Engineering
Astronomy And Astrophysics,5001,Science and Engineering Group,Science and Engineering
Atmospheric Sciences And Meteorology,5002,Science and Engineering Group,Science and Engineering
Chemistry,5003,Science and Engineering Group,Science and Engineering
Geology And Earth Science,5004,Science and Engineering Group,Science and Engineering
Geosciences,5005,Science and Engineering Group,Science and Engineering
Oceanography,5006,Science and Engineering Group,Science and Engineering
Physics,5007,Science and Engineering Group,Science and Engineering
Materials Science,5008,Science and Engineering Group,Science and Engineering
Multi-Disciplinary Or General Science,5098,Science and Engineering Group,Science and Engineering
Miscellaneous Physical Sciences,5099,Science and Engineering Group,Science and Engineering
Psychology,5200,Science and Engineering Group,Psychology
Educational Psychology,5201,Science and Engineering Group,Psychology
Clinical Psychology,5202,Science and Engineering Group,Psychology
Counseling Psychology,5203,Science and Engineering Group,Psychology
Experimental Psychology,5204,Science and Engineering Group,Psychology
Industrial And Organizational Psychology,5205,Science and Engineering Group,Psychology
Social Psychology,5206,Science and Engineering Group,Psychology
Miscellaneous Psychology,5299,Science and Engineering Group,Psychology
Area Ethnic And Civilization Studies,1501,Science and Engineering Group,Social Science
General Social Sciences,5500,Science and Engineering Group,Social Science
Economics,5501,Science and Engineering Group,Social Science
Anthropology And Archeology,5502,Science and Engineering Group,Social Science
Criminology,5503,Science and Engineering Group,Social Science
Geography,5504,Science and Engineering Group,Social Science
International Relations,5505,Science and Engineering Group,Social Science
Political Science And Government,5506,Science and Engineering Group,Social Science
Sociology,5507,Science and Engineering Group,Social Science
Miscellaneous Social Sciences,5599,Science and Engineering Group,Social Science
History And Philosophy Of Science And Technology,6401,Science and Engineering Group,Social Science
General Engineering,2400,Science and Engineering Group,Science and Engineering
Aerospace Engineering,2401,Science and Engineering Group,Science and Engineering
Biological Engineering,2402,Science and Engineering Group,Science and Engineering
Architectural Engineering,2403,Science and Engineering Group,Science and Engineering
Biomedical Engineering,2404,Science and Engineering Group,Science and Engineering
Chemical Engineering,2405,Science and Engineering Group,Science and Engineering
Civil Engineering,2406,Science and Engineering Group,Science and Engineering
Computer Engineering,2407,Science and Engineering Group,Science and Engineering
Electrical Engineering,2408,Science and Engineering Group,Science and Engineering
Engineering Mechanics Physics And Science,2409,Science and Engineering Group,Science and Engineering
Environmental Engineering,2410,Science and Engineering Group,Science and Engineering
Geological And Geophysical Engineering,2411,Science and Engineering Group,Science and Engineering
Industrial And Manufacturing Engineering,2412,Science and Engineering Group,Science and Engineering
Materials Engineering And Materials Science,2413,Science and Engineering Group,Science and Engineering
Mechanical Engineering,2414,Science and Engineering Group,Science and Engineering
Metallurgical Engineering,2415,Science and Engineering Group,Science and Engineering
Mining And Mineral Engineering,2416,Science and Engineering Group,Science and Engineering
Naval Architecture And Marine Engineering,2417,Science and Engineering Group,Science and Engineering
Nuclear Engineering,2418,Science and Engineering Group,Science and Engineering
Petroleum Engineering,2419,Science and Engineering Group,Science and Engineering
Operations Research,2420,Science and Engineering Group,Science and Engineering
Miscellaneous Engineering,2499,Science and Engineering Group,Science and Engineering
Multi-Disciplinary Studies,4000,Science and Engineering Group,Multidisciplinary Studies
Intercultural And International Studies,4001,Science and Engineering Group,Multidisciplinary Studies
Nutrition Sciences,4002,Science and Engineering Group,Multidisciplinary Studies
Accounting And Computer Science,4004,Science and Engineering Group,Multidisciplinary Studies
Mathematics And Computer Science,4005,Science and Engineering Group,Multidisciplinary Studies
Cognitive Science And Biopsychology,4006,Science and Engineering Group,Multidisciplinary Studies
Interdisciplinary Social Sciences,4007,Science and Engineering Group,Multidisciplinary Studies
Architecture,1401,Science and Engineering Related Fields,"Science and Engineering Related Fields (e.g., architecture, math teacher)"
Computer Programming,2101,Science and Engineering Related Fields,"Science and Engineering Related Fields (e.g., architecture, math teacher)"
Data Processing,2104,Science and Engineering Related Fields,"Science and Engineering Related Fields (e.g., architecture, math teacher)"
